teks_pesan,label,penjelasan
"Selamat! Nomor Anda terpilih memenangkan hadiah Rp50.000.000 dari BRI. Klik bit.ly/xxx untuk klaim sebelum 24 jam",scam,"Klaim hadiah palsu, URL shortener, tekanan waktu"
"PEMBERITAHUAN: Rekening Anda diblokir. Segera verifikasi data melalui link berikut: http://bri-update.com/verify",phishing,"Domain palsu meniru BRI, minta verifikasi data"
"Mama ini aku, lagi kena musibah butuh transfer Rp5.000.000 ke rekening ini sekarang ya",scam,"Modus pura-pura keluarga, minta transfer mendesak"
"Selamat Anda terpilih sebagai pemenang undian Tokopedia senilai Rp10.000.000. Klik http://tokped-hadiah.com",phishing,"Domain palsu meniru Tokopedia, undian tidak resmi"
"Akun WhatsApp Anda akan dinonaktifkan dalam 24 jam. Konfirmasi sekarang: http://wa-verify.net/confirm",phishing,"Mengancam nonaktifkan akun, domain palsu bukan whatsapp.com"
"Halo kak, saya jual iPhone 14 Pro murah Rp3.000.000 saja karena butuh uang cepat. Transfer dulu ya",scam,"Harga tidak masuk akal, minta transfer duluan"
"DANA Anda mendapat cashback Rp500.000! Klaim sekarang sebelum expired: http://dana-reward.xyz/claim",phishing,"Domain .xyz mencurigakan, cashback palsu DANA"
"Verifikasi OTP Anda: 847293. Jangan berikan kode ini kepada siapapun termasuk petugas bank",aman,"Pesan OTP resmi dengan peringatan keamanan yang benar"
"Halo! Tagihan listrik PLN Anda bulan ini Rp350.000. Bayar sebelum tanggal 20. Info: 123 atau pln.co.id",aman,"Domain resmi PLN, tidak minta data pribadi"
"Pengingat: Cicilan KPR Anda jatuh tempo tanggal 25. Hubungi Bank Mandiri 14000 untuk informasi lebih lanjut",aman,"Nomor resmi Mandiri, tidak ada link mencurigakan"
"Selamat datang di BCA Mobile. Kode aktivasi Anda: 291847. Berlaku 5 menit. CS BCA: 1500888",aman,"Format resmi BCA, nomor CS resmi, tidak minta klik link"
"Promo Shopee: Gratis ongkir untuk semua produk hari ini! Cek aplikasi Shopee kamu sekarang",aman,"Arahkan ke aplikasi resmi, tidak ada link mencurigakan"
"Akun bank Anda terdeteksi aktivitas mencurigakan. Segera hubungi kami di 0812-3456-7890 untuk verifikasi",phishing,"Nomor tidak resmi, membuat panik, minta hubungi nomor asing"
"Anda memenangkan iPhone 15 dari survey Google! Isi data diri di: http://google-prize.info/claim",phishing,"Google tidak pernah bagi hadiah via SMS, domain palsu"
"Transfer berhasil Rp2.500.000 ke rek 1234567890. Jika bukan Anda, hubungi 14017 atau blokir kartu",aman,"Format notifikasi resmi bank, nomor CS valid BRI"
"Paket Anda tertahan di bea cukai. Bayar biaya administrasi Rp350.000 via transfer ke rekening ini",scam,"Modus bea cukai palsu, minta transfer ke rekening pribadi"
"Selamat! Anda lolos seleksi kerja di perusahaan kami. Kirim biaya administrasi Rp500.000 untuk pelatihan",scam,"Lowongan kerja palsu, minta biaya administrasi"
"Halo! Ini Gojek. Driver Anda sudah dalam perjalanan. Estimasi 5 menit. Kode booking: GO-2847361",aman,"Format notifikasi resmi Gojek, tidak minta data apapun"
"URGENT: Kartu kredit Anda akan diblokir. Klik link ini untuk verifikasi: http://mandiri-secure.net/update",phishing,"Domain tidak resmi Mandiri, membuat urgensi palsu"
"Mama, ini [nama]. HP rusak pakai nomor baru. Minta tolong transfer pulsa Rp200.000 ke nomor ini ya",scam,"Modus ganti nomor HP, pura-pura anggota keluarga"
